School ID,school_name,borough,building Code,average_math,average_reading,average_writing,percent_tested
10X141,Riverdale/Kingsbridge Academy,Bronx,X141,496,485,476,69.40%
11X513,New World High School,Bronx,X362,407,363,358,93.00%
11X514,Bronxwood Preparatory Academy,Bronx,X362,392,408,392,43.30%
11X270,Academy for Scholarship and Entrepreneurship (College Board),Bronx,X362,392,408,400,63.40%
11X544,High School for Contemporary Arts,Bronx,X425,367,381,361,41.00%
11X545,Bronx Aerospace High School,Bronx,X425,403,410,393,50.50%
11X290,Bronx Academy of Health Careers,Bronx,X425,386,380,391,59.40%
11X275,High School of Computers and Technology,Bronx,X425,396,399,377,65.60%
11X265,Bronx Lab School,Bronx,X425,407,416,401,77.40%
11X253,Bronx High School for Writing and Communication Arts,Bronx,X425,380,437,425,38.10%
10X433,High School for Teaching and the Professions,Bronx,X430,372,361,369,46.50%
10X445,Bronx High School of Science,Bronx,X445,714,660,667,97.00%
10X268,Kingsbridge International High School,Bronx,X430,366,311,310,50.70%
10X549,Discovery High School,Bronx,X430,432,396,395,39.90%
10X353,World View High School,Bronx,X440,,,,
10X442,Celia Cruz Bronx High School of Music,Bronx,X430,417,434,425,75.60%
10X696,High School of American Studies at Lehman College,Bronx,X905,669,672,672,91.80%
10X440,DeWitt Clinton High School,Bronx,X440,445,436,433,31.80%
10X342,International School for Liberal Arts,Bronx,X430,390,387,379,19.20%
10X351,Bronx Collaborative High School,Bronx,X440,,,,
11X299,Astor Collegiate Academy,Bronx,X415,422,417,409,57.90%
11X542,Pelham Preparatory Academy,Bronx,X415,420,433,425,77.00%
11X509,High School of Language and Innovation,Bronx,X415,356,340,320,72.70%
11X288,Collegiate Institute for Math and Science,Bronx,X415,488,461,458,79.80%
11X508,Bronxdale High School,Bronx,X415,418,432,436,72.50%
12X388,Pan American International High School at Monroe,Bronx,X420,317,315,292,65.60%
12X478,Cinema School,Bronx,X423,430,449,448,88.30%
12X692,Monroe Academy for Visual Arts and Design,Bronx,X420,361,354,351,46.80%
12X242,Mott Hall V,Bronx,X423,430,422,414,77.50%
12X521,Metropolitan Soundview High School,Bronx,X420,444,428,422,52.00%
12X550,High School of World Cultures,Bronx,X420,356,359,347,38.20%
08X312,Millennium Art Academy,Bronx,X450,396,413,395,39.20%
08X452,Bronx Guild,Bronx,X450,365,393,357,41.30%
08X367,"Archimedes Academy for Math, Science, and Technology Applications",Bronx,X174,418,430,403,51.20%
08X432,Bronx Bridges High School,Bronx,X450,,,,1.20%
08X305,Pablo Neruda Academy,Bronx,X450,394,384,383,44.20%
08X282,Women's Academy of Excellence,Bronx,X174,386,390,389,45.20%
08X561,Bronx Compass High School,Bronx,X450,,,,
08X519,Felisa Rincon de Gautier Institute for Law and Public Policy,Bronx,X972,389,408,413,31.30%
08X376,Antonia Pantoja Preparatory Academy (College Board),Bronx,X450,435,415,423,44.90%
11X249,Bronx Health Sciences High School,Bronx,X455,407,421,427,87.10%
11X455,Harry S. Truman High School,Bronx,X455,400,401,391,41.50%
24Q600,Queens Vocational and Technical High School,Queens,Q600,467,436,432,53.40%
24Q267,High School of Applied Communication,Queens,Q735,435,437,441,70.90%
24Q520,Middle College High School at LaGuardia Community College,Queens,Q520,377,389,377,48.70%
30Q301,Academy for Careers in Television and Film,Queens,Q404,444,458,444,95.00%
24Q610,Aviation Career and Technical Education High School,Queens,Q610,511,464,456,78.60%
30Q575,Academy of American Studies,Queens,Q451,495,482,479,84.80%
30Q555,Newcomers High School,Queens,Q450,490,374,381,47.10%
24Q299,Bard High School Early College Queens,Queens,Q735,631,598,610,94.10%
24Q530,International High School at LaGuardia Community College,Queens,Q520,425,367,365,71.70%
30Q502,Information Technology High School,Queens,Q725,443,420,411,58.80%
24Q560,Robert F. Wagner Jr. Secondary School for Arts and Technology,Queens,Q891,478,445,445,71.10%
24Q264,Academy of Finance and Enterprise,Queens,Q735,489,456,459,92.70%
30Q286,Young Women's Leadership School in Astoria,Queens,Q739,483,464,477,100.00%
30Q445,William Cullen Bryant High School,Queens,Q445,466,424,426,56.90%
30Q450,Long Island City High School,Queens,Q452,430,423,412,51.60%
30Q501,Frank Sinatra School of the Arts High School,Queens,Q570,536,543,543,89.50%
30Q258,Energy Tech High School,Queens,Q204,,,,
30Q580,Baccalaureate School for Global Education,Queens,Q798,633,620,628,98.50%
13K419,"Science Skills Center High School for Science, Technology, and the Creative Arts",Brooklyn,K805,399,397,386,65.90%
13K439,Brooklyn International High School,Brooklyn,K805,432,334,333,92.70%
15K423,Brooklyn Frontiers High School,Brooklyn,K520,,,,
15K497,School for International Studies,Brooklyn,K293,417,406,394,65.10%
