School ID,school_name,borough,building Code,average_math,average_reading,average_writing,percent_tested
21K344,Rachel Carson High School for Coastal Studies,Brooklyn,K303,436,430,421,68.40%
17K548,Brooklyn School for Music and Theatre,Brooklyn,K440,382,393,377,72.20%
17K547,Brooklyn Academy of Science and the Environment,Brooklyn,K440,419,411,416,58.50%
17K590,Medgar Evers College Preparatory School,Brooklyn,K590,525,500,481,89.00%
17K600,Clara Barton High School,Brooklyn,K600,408,424,407,55.00%
17K524,International High School at Prospect Heights,Brooklyn,K440,344,302,300,81.70%
17K528,High School for Global Citizenship,Brooklyn,K440,377,386,375,61.90%
17K543,"Science, Technology, and Research Early College High School at Erasmus",Brooklyn,K465,496,491,484,91.50%
17K382,Academy for College Preparation and Career Exploration (College Board),Brooklyn,K465,386,397,393,57.30%
17K537,High School for Youth and Community Development at Erasmus,Brooklyn,K465,360,382,359,63.20%
17K539,High School for Service and Learning at Erasmus,Brooklyn,K465,377,382,356,45.50%
17K408,Academy of Hospitality and Tourism,Brooklyn,K465,374,385,375,62.00%
22K425,James Madison High School,Brooklyn,K425,492,450,444,69.00%
21K525,Edward R. Murrow High School,Brooklyn,K525,500,479,472,75.20%
15K448,Brooklyn Secondary School for Collaborative Studies,Brooklyn,K142,401,411,404,84.10%
15K667,Sunset Park High School,Brooklyn,K564,398,380,381,61.60%
23K493,Brooklyn Collegiate (College Board),Brooklyn,K055,394,395,399,64.40%
16K594,Gotham Professional Arts Academy,Brooklyn,K040,377,396,386,50.70%
23K644,Eagle Academy for Young Men II,Brooklyn,K271,,,,0.00%
22K535,Leon M. Goldstein High School for the Sciences,Brooklyn,K535,563,534,543,94.00%
21K410,Abraham Lincoln High School,Brooklyn,K410,441,422,422,54.90%
22K611,Origins High School,Brooklyn,K495,,,,
21K620,William E. Grady Career and Technical Education High School,Brooklyn,K620,416,423,387,31.40%
18K642,Urban Action Academy,Brooklyn,K500,362,396,393,44.90%
18K566,Brooklyn Generation School,Brooklyn,K515,392,406,403,50.00%
18K633,High School for Medical Professions,Brooklyn,K500,404,427,424,60.20%
18K617,High School for Innovation in Advertising and Media,Brooklyn,K500,390,410,397,59.10%
18K576,Victory Collegiate High School,Brooklyn,K515,386,408,402,72.70%
18K567,Brooklyn Theatre Arts High School,Brooklyn,K515,379,393,373,69.10%
18K637,Academy for Conservation and the Environment,Brooklyn,K515,381,397,390,50.80%
32K554,All City Leadership Secondary School,Brooklyn,K554,467,446,448,85.00%
32K168,Brooklyn School for Math and Research,Brooklyn,K480,,,,0.00%
32K549,Bushwick School for Social Justice,Brooklyn,K480,365,357,357,50.00%
32K403,Academy for Environmental Leadership,Brooklyn,K480,365,366,348,71.30%
32K552,Academy of Urban Planning,Brooklyn,K480,392,374,379,41.90%
13K499,ACORN Community High School,Brooklyn,K909,379,395,385,61.30%
25Q460,Flushing High School,Queens,Q460,444,407,405,46.10%
25Q241,Queens High School for Language Studies,Queens,Q460,,,,
25Q240,Veritas Academy,Queens,Q460,,,,
25Q281,East-West School of International Studies,Queens,Q237,521,457,451,89.40%
25Q263,Flushing International High School,Queens,Q189,481,323,323,67.70%
25Q285,World Journalism Preparatory (College Board),Queens,Q025,484,491,487,89.20%
26Q495,Bayside High School,Queens,Q405,523,479,485,76.70%
26Q415,Benjamin N. Cardozo High School,Queens,Q415,563,505,510,75.60%
26Q430,Francis Lewis High School,Queens,Q430,562,483,485,80.70%
25Q252,Queens School of Inquiry,Queens,Q168,516,493,486,88.20%
25Q670,Robert F. Kennedy Community High School,Queens,Q707,460,426,423,67.30%
25Q425,John Bowne High School,Queens,Q425,467,422,425,62.10%
25Q525,Townsend Harris High School,Queens,Q515,680,640,661,97.10%
24Q550,High School for Arts and Business,Queens,Q456,413,405,393,76.70%
24Q293,Civic Leadership Academy,Queens,Q744,435,424,418,68.90%
24Q585,Maspeth High School,Queens,Q585,476,471,480,90.00%
24Q296,Pan American International High School,Queens,Q744,340,320,318,31.90%
24Q236,International High School for Health Sciences,Queens,Q455,,,,
24Q455,Newtown High School,Queens,Q455,434,401,389,39.10%
28Q440,Forest Hills High School,Queens,Q440,517,485,483,72.80%
28Q167,Metropolitan Expeditionary Learning School,Queens,Q686,,,,
28Q686,Queens Metropolitan High School,Queens,Q686,460,448,449,76.40%
24Q485,Grover Cleveland High School,Queens,Q485,452,422,416,38.90%
29Q313,Benjamin Franklin High School for Finance and Information Technology,Queens,Q490,,,,
29Q498,Humanities and Arts Magnet High School,Queens,Q490,384,409,401,60.20%
29Q243,Institute for Health Professions at Cambria Heights,Queens,Q490,,,,
29Q492,"Mathematics, Science Research, and Technology Magnet High School",Queens,Q490,380,418,388,54.90%
29Q259,Pathways College Preparatory School (College Board),Queens,Q192,405,427,409,72.40%
29Q265,Excelsior Preparatory High School,Queens,Q420,384,407,400,70.10%
29Q283,Preparatory Academy for Writers (College Board),Queens,Q420,398,410,393,69.50%
29Q248,Queens Preparatory Academy,Queens,Q420,423,422,403,83.70%
29Q272,George Washington Carver High School for the Sciences,Queens,Q420,439,428,419,63.50%
27Q650,"High School for Construction Trades, Engineering, and Architecture",Queens,Q650,489,457,451,78.90%
27Q480,John Adams High School,Queens,Q480,418,401,395,38.40%
27Q308,Robert H. Goddard High School of Communication Arts and Technology,Queens,Q202,426,435,424,85.10%
27Q475,Richmond Hill High School,Queens,Q475,413,406,399,37.90%
27Q334,Epic High School North,Queens,Q636,,,,
27Q314,Epic High School South,Queens,Q226,,,,
29Q326,Cambria Heights Academy,Queens,Q799,418,424,411,58.50%
26Q566,"Queens High School of Teaching, Liberal Arts, and the Sciences",Queens,Q566,453,434,439,72.40%
26Q315,Business Technology Early College High School,Queens,Q435,,,,
26Q435,Martin Van Buren High School,Queens,Q435,397,396,391,40.00%
28Q680,Queens Gateway to Health Sciences Secondary School,Queens,Q695,524,511,514,92.50%
28Q350,Jamaica Gateway to the Sciences,Queens,Q470,487,460,463,78.60%
28Q328,High School for Community Leadership,Queens,Q470,415,392,386,72.30%
28Q896,Young Women's Leadership School in Queens,Queens,Q680,415,420,433,90.40%
28Q310,Queens Collegiate (College Board),Queens,Q470,455,439,441,74.80%
28Q505,Hillcrest High School,Queens,Q505,448,432,426,51.80%
28Q620,Thomas A. Edison Career and Technical Education High School,Queens,Q620,514,473,470,80.00%
28Q325,Hillside Arts and Letters Academy,Queens,Q470,409,399,404,62.60%
28Q284,York Early College Academy,Queens,Q008,496,481,473,92.90%
28Q687,Queens High School for the Sciences at York College,Queens,Q774,701,621,625,97.90%
28Q690,High School for Law Enforcement and Public Safety,Queens,Q690,410,431,409,56.60%
29Q327,Eagle Academy for Young Men III,Queens,Q633,,,,
27Q400,August Martin High School,Queens,Q400,366,372,364,26.30%
27Q260,Frederick Douglass Academy VI High School,Queens,Q465,410,418,407,30.10%
27Q309,Academy of Medical Technology (College Board),Queens,Q465,422,424,415,67.60%
27Q302,"Queens High School for Information, Research, and Technology",Queens,Q465,372,362,352,44.60%
27Q324,Rockaway Park High School for Environmental Sustainability,Queens,Q410,357,381,376,38.50%
27Q262,Channel View School for Research,Queens,Q410,427,430,423,76.60%
27Q351,Rockaway Collegiate High School,Queens,Q410,399,403,405,46.50%
27Q323,Scholars' Academy,Queens,Q180,588,560,568,99.20%
